#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2537 5.3740E-03 5.3740E-03  -0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=149 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
 94  6.737         3.7704         2.2481
 95  6.837         3.7834         2.2509
 96  6.937         3.7960         2.2533
 97  7.037         3.8083         2.2542
 98  7.137         3.8205         2.2620
 99  7.237         3.8326         2.2731
100  7.337         3.8447         2.2831
101  7.437         3.8568         2.2944
102  7.537         3.8688         2.3051
103  7.637         3.8810         2.3225
104  7.737         3.8933         2.3410
105  7.837         3.9059         2.3617
106  7.937         3.9188         2.3854
107  8.037         3.9318         2.4001
108  8.137         3.9448         2.4148
109  8.237         3.9580         2.4335
110  8.337         3.9714         2.4569
111  8.437         3.9852         2.4799
112  8.537         3.9992         2.4999
113  8.637         4.0133         2.5173
114  8.737         4.0276         2.5381
115  8.837         4.0422         2.5629
116  8.937         4.0573         2.5904
117  9.037         4.0728         2.6172
118  9.137         4.0887         2.6441
119  9.237         4.1051         2.6749
120  9.337         4.1223         2.7098
121  9.437         4.1402         2.7482
122  9.537         4.1592         2.7902
123  9.637         4.1791         2.8308
124  9.737         4.1999         2.8699
125  9.837         4.2215         2.9074
126  9.937         4.2438         2.9434
127 10.037         4.2668         2.9783
128 10.137         4.2880         2.9652
129 10.237         4.3087         2.9765
130 10.337         4.3312         3.0351
131 10.437         4.3551         3.0843
132 10.537         4.3799         3.1238
133 10.637         4.4055         3.1628
134 10.737         4.4315         3.1960
135 10.837         4.4572         3.2162
136 10.937         4.4821         3.2285
137 11.037         4.5066         3.2455
138 11.137         4.5307         3.2642
139 11.237         4.5547         3.2844
140 11.337         4.5785         3.3064
141 11.437         4.6024         3.3301
142 11.537         4.6263         3.3555
143 11.637         4.6502         3.3793
144 11.737         4.6741         3.4024
145 11.837         4.6979         3.4255
146 11.937         4.7217         3.4485
147 12.037         4.7455         3.4716
148 12.137         4.7692         3.4949
149 12.237         4.7930         3.5199
150 12.337         4.8168         3.5432
151 12.437         4.8404         3.5640
152 12.537         4.8637         3.5820
153 12.637         4.8867         3.5995
154 12.737         4.9096         3.6188
155 12.837         4.9323         3.6398
156 12.937         4.9549         3.6609
157 13.037         4.9775         3.6816
158 13.137         5.0000         3.7036


#AGE= 3.000 BINS=156 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.431        -0.3625        -0.3625
  2 -2.331        -0.0881        -0.4175
  3 -2.231         0.0750        -0.4292
  4 -2.131         0.1941        -0.4259
  5 -2.031         0.2905        -0.4106
  6 -1.931         0.3734        -0.3865
  7 -1.831         0.4463        -0.3649
  8 -1.731         0.5126        -0.3365
  9 -1.631         0.5735        -0.3098
 10 -1.531         0.6302        -0.2823
 11 -1.431         0.6840        -0.2489
 12 -1.331         0.7347        -0.2239
 13 -1.231         0.7832        -0.1929
 14 -1.131         0.8296        -0.1638
 15 -1.031         0.8748        -0.1311
 16 -0.931         0.9187        -0.0983
 17 -0.831         0.9612        -0.0693
 18 -0.731         1.0028        -0.0364
 19 -0.631         1.0434        -0.0058
 20 -0.531         1.0831         0.0249
 21 -0.431         1.1220         0.0547
 22 -0.331         1.1602         0.0857
 23 -0.231         1.1978         0.1164
 24 -0.131         1.2349         0.1473
 25 -0.031         1.2697         0.1566
 26  0.069         1.3759         0.7123
 27  0.169         1.4517         0.6560
 28  0.269         1.4802         0.2841
 29  0.369         1.5080         0.2999
 30  0.469         1.5355         0.3236
 31  0.569         1.5632         0.3534
 32  0.669         1.5911         0.3862
 33  0.769         1.6193         0.4176
 34  0.869         1.6478         0.4509
 35  0.969         1.6767         0.4843
 36  1.069         1.7058         0.5170
 37  1.169         1.7351         0.5503
 38  1.269         1.7649         0.5872
 39  1.369         1.7951         0.6211
 40  1.469         1.8255         0.6562
 41  1.569         1.8562         0.6900
 42  1.669         1.8871         0.7247
 43  1.769         1.9184         0.7599
 44  1.869         1.9499         0.7955
 45  1.969         1.9816         0.8286
 46  2.069         2.0133         0.8607
 47  2.169         2.0452         0.8961
 48  2.269         2.2814         1.9040
 49  2.369         2.3936         1.7508
 50  2.469         2.4974         1.8250
 51  2.569         2.5695         1.7544
 52  2.669         2.6303         1.7464
 53  2.769         2.6845         1.7537
 54  2.869         2.7235         1.6570
 55  2.969         2.7479         1.4850
 56  3.069         2.8010         1.8624
 57  3.169         2.8545         1.9185
 58  3.269         2.9040         1.9368
 59  3.369         2.9530         1.9809
 60  3.469         2.9914         1.9184
 61  3.569         3.0291         1.9490
 62  3.669         3.0653         1.9681
 63  3.769         3.0993         1.9769
 64  3.869         3.1317         1.9882
 65  3.969         3.1628         2.0020
 66  4.069         3.1927         2.0163
 67  4.169         3.2218         2.0324
 68  4.269         3.2500         2.0488
 69  4.369         3.2774         2.0632
 70  4.469         3.3040         2.0782
 71  4.569         3.3298         2.0915
 72  4.669         3.3550         2.1050
 73  4.769         3.3796         2.1209
 74  4.869         3.4036         2.1346
 75  4.969         3.4269         2.1456
 76  5.069         3.4498         2.1599
 77  5.169         3.4725         2.1795
 78  5.269         3.4951         2.1993
 79  5.369         3.5171         2.2106
 80  5.469         3.5382         2.2158
 81  5.569         3.5585         2.2167
 82  5.669         3.5780         2.2204
 83  5.769         3.5968         2.2251
 84  5.869         3.6151         2.2292
 85  5.969         3.6327         2.2334
 86  6.069         3.6499         2.2375
 87  6.169         3.6665         2.2415
 88  6.269         3.6827         2.2456
 89  6.369         3.6984         2.2498
 90  6.469         3.7137         2.2537
 91  6.569         3.7287         2.2569
 92  6.669         3.7432         2.2601
 93  6.769         3.7573         2.2630
 94  6.869         3.7711         2.2649
 95  6.969         3.7844         2.2649
 96  7.069         3.7975         2.2712
 97  7.169         3.8106         2.2811
 98  7.269         3.8235         2.2902
 99  7.369         3.8363         2.3010
100  7.469         3.8491         2.3116
101  7.569         3.8620         2.3274
102  7.669         3.8749         2.3425
103  7.769         3.8881         2.3636
104  7.869         3.9016         2.3886
105  7.969         3.9153         2.4060
106  8.069         3.9290         2.4216
107  8.169         3.9428         2.4370
108  8.269         3.9568         2.4578
109  8.369         3.9711         2.4824
110  8.469         3.9857         2.5045
111  8.569         4.0004         2.5221
112  8.669         4.0152         2.5415
113  8.769         4.0303         2.5635
114  8.869         4.0458         2.5906
115  8.969         4.0617         2.6185
116  9.069         4.0781         2.6465
117  9.169         4.0949         2.6733
118  9.269         4.1122         2.7057
119  9.369         4.1303         2.7411
120  9.469         4.1493         2.7802
121  9.569         4.1692         2.8196
122  9.669         4.1900         2.8598
123  9.769         4.2118         2.9011
124  9.869         4.2346         2.9439
