## Mr-color sequences for He (DB and DC) white dwarfs. 
## Based on Bergeron et al. (1995) models, adjusted to fit SDSS data. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz 
  14.32   0.897    0.400    0.120    0.004  
  14.34   0.913    0.409    0.124    0.007  
  14.36   0.928    0.417    0.128    0.010  
  14.38   0.943    0.426    0.132    0.013  
  14.40   0.959    0.434    0.136    0.016  
  14.42   0.974    0.443    0.140    0.019  
  14.44   0.990    0.451    0.144    0.021  
  14.46   1.005    0.460    0.148    0.024  
  14.48   1.021    0.469    0.152    0.027  
  14.50   1.036    0.477    0.156    0.030  
