## Mr-color sequences for He (DB+DC) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.61  -0.597   -0.387   -0.012    0.096   -1.30  
   8.64  -0.601   -0.405   -0.027    0.091   -1.40  
   8.66  -0.605   -0.422   -0.043    0.085   -1.50  
   8.68  -0.608   -0.438   -0.060    0.079   -1.60  
   8.69  -0.612   -0.452   -0.076    0.072   -1.70  
   8.71  -0.614   -0.466   -0.093    0.065   -1.80  
   8.73  -0.617   -0.479   -0.110    0.057   -1.90  
   8.74  -0.619   -0.490   -0.126    0.048   -2.00  
   8.75  -0.622   -0.501   -0.143    0.039   -2.10  
   8.77  -0.624   -0.511   -0.160    0.029   -2.20  
   8.78  -0.625   -0.520   -0.176    0.019   -2.30  
   8.79  -0.627   -0.529   -0.192    0.008   -2.40  
   8.80  -0.629   -0.537   -0.208   -0.003   -2.50  
   8.81  -0.630   -0.544   -0.223   -0.015   -2.60  
   8.81  -0.631   -0.551   -0.238   -0.027   -2.70  
   8.82  -0.632   -0.557   -0.253   -0.039   -2.80  
   8.83  -0.633   -0.562   -0.267   -0.051   -2.90  
   8.83  -0.634   -0.568   -0.281   -0.064   -3.00  
   8.84  -0.635   -0.572   -0.294   -0.075   -3.10  
   8.84  -0.636   -0.577   -0.305   -0.084   -3.20  
   8.85  -0.637   -0.581   -0.315   -0.093   -3.30  
   8.85  -0.638   -0.584   -0.326   -0.102   -3.40  
   8.86  -0.638   -0.588   -0.336   -0.111   -3.50  
   8.86  -0.639   -0.591   -0.346   -0.120   -3.60  
   8.86  -0.639   -0.593   -0.355   -0.130   -3.70  
   8.87  -0.640   -0.596   -0.364   -0.139   -3.80  
   8.87  -0.640   -0.598   -0.372   -0.148   -3.90  
   8.87  -0.641   -0.600   -0.381   -0.158   -4.00  
   8.88  -0.641   -0.602   -0.389   -0.167   -4.10  
   8.88  -0.641   -0.604   -0.396   -0.177   -4.20  
   8.88  -0.642   -0.606   -0.403   -0.186   -4.30  
   8.88  -0.642   -0.607   -0.410   -0.195   -4.40  
   8.88  -0.642   -0.609   -0.417   -0.204   -4.50  
   8.88  -0.642   -0.610   -0.423   -0.213   -4.60  
   8.89  -0.643   -0.611   -0.429   -0.222   -4.70  
   8.89  -0.643   -0.612   -0.435   -0.231   -4.80  
   8.89  -0.643   -0.613   -0.440   -0.240   -4.90  
   8.89  -0.643   -0.614   -0.445   -0.249   -5.00  
   8.89  -0.643   -0.615   -0.450   -0.257   -5.10  
   8.89  -0.643   -0.616   -0.456   -0.273   -5.20  
