## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.04  -0.317    0.045    0.204    0.132    0.20  
   8.10  -0.336    0.011    0.197    0.132    0.10  
   8.15  -0.352   -0.022    0.190    0.132    0.00  
   8.20  -0.368   -0.054    0.182    0.132   -0.10  
   8.24  -0.381   -0.086    0.174    0.132   -0.20  
   8.29  -0.394   -0.117    0.165    0.132   -0.30  
   8.33  -0.405   -0.147    0.155    0.131   -0.40  
   8.37  -0.415   -0.176    0.146    0.130   -0.50  
   8.41  -0.424   -0.204    0.135    0.130   -0.60  
   8.44  -0.432   -0.231    0.125    0.128   -0.70  
   8.48  -0.439   -0.256    0.114    0.127   -0.80  
   8.51  -0.446   -0.281    0.103    0.126   -0.90  
   8.54  -0.452   -0.304    0.091    0.124   -1.00  
   8.56  -0.457   -0.325    0.079    0.122   -1.10  
   8.59  -0.462   -0.346    0.066    0.119   -1.20  
   8.61  -0.467   -0.365    0.053    0.116   -1.30  
   8.64  -0.471   -0.383    0.040    0.112   -1.40  
   8.66  -0.475   -0.399    0.026    0.108   -1.50  
   8.68  -0.478   -0.415    0.012    0.103   -1.60  
   8.69  -0.481   -0.430   -0.002    0.097   -1.70  
   8.71  -0.484   -0.443   -0.017    0.091   -1.80  
   8.73  -0.487   -0.456   -0.031    0.084   -1.90  
   8.74  -0.489   -0.467   -0.046    0.077   -2.00  
   8.75  -0.491   -0.478   -0.061    0.070   -2.10  
   8.77  -0.493   -0.488   -0.075    0.061   -2.20  
   8.78  -0.495   -0.497   -0.089    0.053   -2.30  
   8.79  -0.497   -0.506   -0.103    0.044   -2.40  
   8.80  -0.499   -0.514   -0.117    0.035   -2.50  
   8.81  -0.500   -0.521   -0.130    0.026   -2.60  
   8.81  -0.501   -0.528   -0.143    0.016   -2.70  
   8.82  -0.502   -0.534   -0.156    0.006   -2.80  
   8.83  -0.503   -0.539   -0.169   -0.004   -2.90  
   8.83  -0.504   -0.544   -0.180   -0.014   -3.00  
   8.84  -0.505   -0.549   -0.192   -0.024   -3.10  
   8.84  -0.506   -0.553   -0.201   -0.030   -3.20  
   8.85  -0.507   -0.557   -0.211   -0.037   -3.30  
   8.85  -0.508   -0.561   -0.220   -0.044   -3.40  
   8.86  -0.508   -0.564   -0.228   -0.052   -3.50  
   8.86  -0.509   -0.567   -0.237   -0.059   -3.60  
   8.86  -0.509   -0.570   -0.245   -0.066   -3.70  
   8.87  -0.510   -0.573   -0.253   -0.073   -3.80  
   8.87  -0.510   -0.575   -0.260   -0.081   -3.90  
   8.87  -0.511   -0.577   -0.267   -0.088   -4.00  
   8.88  -0.511   -0.579   -0.274   -0.096   -4.10  
   8.88  -0.512   -0.581   -0.281   -0.103   -4.20  
   8.88  -0.512   -0.583   -0.287   -0.110   -4.30  
   8.88  -0.512   -0.584   -0.293   -0.117   -4.40  
   8.88  -0.512   -0.585   -0.299   -0.125   -4.50  
   8.88  -0.513   -0.587   -0.304   -0.132   -4.60  
   8.89  -0.513   -0.588   -0.310   -0.139   -4.70  
   8.89  -0.513   -0.589   -0.315   -0.145   -4.80  
   8.89  -0.513   -0.590   -0.319   -0.152   -4.90  
   8.89  -0.513   -0.591   -0.324   -0.159   -5.00  
   8.89  -0.513   -0.591   -0.328   -0.166   -5.10  
   8.89  -0.513   -0.592   -0.333   -0.178   -5.20  
