## SDSS/LSST colors as functions of Mr and FeH ########
## see MSandRGBcolors_v1.3.header
#   Mr      FeH      ug       gr       ri      iz     zy
   0.61   -2.50   1.1933   0.5116   0.2248   0.1325   0.0636 
   0.62   -2.50   1.1922   0.5112   0.2245   0.1323   0.0635 
   0.63   -2.50   1.1910   0.5108   0.2243   0.1321   0.0634 
   0.64   -2.50   1.1899   0.5104   0.2240   0.1319   0.0633 
   0.65   -2.50   1.1887   0.5099   0.2238   0.1316   0.0632 
   0.66   -2.50   1.1875   0.5095   0.2235   0.1314   0.0631 
   0.67   -2.50   1.1864   0.5091   0.2233   0.1312   0.0630 
   0.68   -2.50   1.1852   0.5087   0.2230   0.1310   0.0628 
   0.69   -2.50   1.1840   0.5083   0.2228   0.1308   0.0627 
   0.70   -2.50   1.1829   0.5079   0.2225   0.1305   0.0626 
   0.71   -2.50   1.1817   0.5075   0.2222   0.1303   0.0625 
   0.72   -2.50   1.1805   0.5070   0.2220   0.1301   0.0624 
   0.73   -2.50   1.1794   0.5066   0.2217   0.1299   0.0623 
   0.74   -2.50   1.1782   0.5062   0.2215   0.1297   0.0622 
   0.75   -2.50   1.1771   0.5058   0.2212   0.1294   0.0621 
   0.76   -2.50   1.1759   0.5054   0.2210   0.1292   0.0620 
   0.77   -2.50   1.1747   0.5050   0.2207   0.1290   0.0619 
   0.78   -2.50   1.1736   0.5046   0.2205   0.1288   0.0618 
   0.79   -2.50   1.1724   0.5042   0.2202   0.1286   0.0617 
   0.80   -2.50   1.1712   0.5038   0.2200   0.1283   0.0616 
   0.81   -2.50   1.1701   0.5033   0.2198   0.1281   0.0615 
   0.82   -2.50   1.1689   0.5029   0.2195   0.1279   0.0614 
   0.83   -2.50   1.1678   0.5025   0.2193   0.1277   0.0613 
   0.84   -2.50   1.1666   0.5021   0.2190   0.1275   0.0612 
   0.85   -2.50   1.1654   0.5017   0.2188   0.1272   0.0611 
   0.86   -2.50   1.1643   0.5013   0.2185   0.1270   0.0610 
   0.87   -2.50   1.1631   0.5009   0.2183   0.1268   0.0609 
   0.88   -2.50   1.1620   0.5005   0.2180   0.1266   0.0608 
   0.89   -2.50   1.1608   0.5000   0.2178   0.1263   0.0607 
   0.90   -2.50   1.1596   0.4996   0.2175   0.1261   0.0606 
   0.91   -2.50   1.1585   0.4992   0.2172   0.1259   0.0605 
   0.92   -2.50   1.1573   0.4988   0.2170   0.1257   0.0604 
   0.93   -2.50   1.1561   0.4984   0.2167   0.1255   0.0602 
   0.94   -2.50   1.1550   0.4980   0.2165   0.1252   0.0601 
   0.95   -2.50   1.1538   0.4976   0.2162   0.1250   0.0600 
   0.96   -2.50   1.1526   0.4971   0.2160   0.1248   0.0599 
   0.97   -2.50   1.1515   0.4967   0.2157   0.1246   0.0598 
   0.98   -2.50   1.1503   0.4963   0.2155   0.1244   0.0597 
   0.99   -2.50   1.1492   0.4959   0.2152   0.1241   0.0596 
   1.00   -2.50   1.1480   0.4955   0.2150   0.1239   0.0595 
   1.01   -2.50   1.1468   0.4951   0.2148   0.1237   0.0594 
   1.02   -2.50   1.1457   0.4947   0.2145   0.1235   0.0593 
   1.03   -2.50   1.1445   0.4943   0.2143   0.1233   0.0592 
   1.04   -2.50   1.1434   0.4939   0.2140   0.1230   0.0591 
   1.05   -2.50   1.1422   0.4934   0.2138   0.1228   0.0590 
   1.06   -2.50   1.1410   0.4930   0.2135   0.1226   0.0589 
   1.07   -2.50   1.1399   0.4926   0.2133   0.1224   0.0588 
   1.08   -2.50   1.1387   0.4922   0.2130   0.1222   0.0587 
