      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  0.13166963 -45.69018173   -0.12   0.04    6.04   0.08    0.12   0.04   3.35     -50.3     -21.9    -160.5       103
  0.57151526 -45.00363922   -0.24   0.18   13.28   0.13    0.17   0.07   3.01     -35.1     -19.2     -19.4       104
  0.01374845 -45.46206284   -0.23   0.10   12.40   0.08    0.10   0.02   5.37     -38.2     -16.8    -138.6       105
  0.78995544 -44.93325424   -0.18   0.11   12.50   0.11    0.12   0.04   0.91     -38.1     -24.0     -83.3       106
  1.42391825 -44.46278763   -0.41   0.18   14.16   0.10    0.18   0.03   2.61     -41.0     -13.3    -115.4       107
  0.83430499 -44.78554535   -0.17   0.10    5.62   0.15    0.14   0.04   3.79     -41.1     -12.8    -115.8       108
  0.66817182 -44.99326324   -0.57   0.46   13.70   0.19    0.19   0.05   0.07     -28.1      -7.1     -77.3       109
  0.80700207 -44.93693161   -0.38   0.19   13.97   0.09    0.14   0.04   0.72     -43.1     -13.2     -55.4       110
  0.82449508 -45.21188354   -0.44   0.17   14.11   0.09    0.22   0.02   0.63     -43.1     -15.2    -195.2       111
  0.29583055 -45.55447388   -0.15   0.09   12.70   0.13    0.11   0.07   7.44     -35.1     -28.3     -18.0       112
  1.18408239 -44.77502823   -0.19   0.10   11.19   0.11    0.16   0.02   0.32     -37.0     -18.1    -183.5       113
  1.06440389 -45.04467773   -0.24   0.14   11.35   0.14    0.16   0.02   1.49     -33.7     -15.2    -174.8       114
  0.58844727 -45.33878326   -0.28   0.16   10.57   0.15    0.14   0.02   0.36     -30.9     -11.5    -199.5       115
  0.38147539 -45.48524475   -0.19   0.11   11.41   0.12    0.13   0.02   2.38     -36.7     -18.9    -176.4       116
  1.49586427 -44.89765930   -0.43   0.34   13.59   0.17    0.19   0.05   0.60     -29.9     -10.8     -70.6       117
  0.07296699 -45.53281021   -0.15   0.07   10.94   0.08    0.10   0.02   8.09     -40.2     -23.4    -185.5       118
  1.02757633 -45.12417221   -0.16   0.06    7.02   0.08    0.15   0.05   0.37     -43.4     -15.5     -68.3       119
  0.22936144 -45.43033981   -0.44   0.18   14.06   0.08    0.20   0.03   0.92     -43.8     -14.9    -128.8       120
  0.41417384 -45.26076889   -0.21   0.12   11.25   0.13    0.10   0.02   2.65     -34.3     -17.5    -147.6       121
  1.27109909 -44.37807846   -0.15   0.11   12.94   0.08    0.09   0.02   1.50     -42.6     -26.2    -138.8       122
  0.78924578 -44.78788376   -0.24   0.16   13.04   0.10    0.09   0.03   1.40     -39.6     -17.5    -112.7       123
  0.24097307 -45.20808411   -0.21   0.11   10.90   0.11    0.10   0.02   1.60     -34.2     -12.9    -184.9       124
  1.28820848 -45.00437164   -0.19   0.11    8.58   0.11    0.17   0.02   0.22     -35.6     -14.3    -200.9       125
  0.48419529 -45.40214539   -0.21   0.14   12.88   0.11    0.13   0.04   0.12     -38.8     -19.8     -78.9       126
  0.09138305 -45.37216187   -0.10   0.02    6.73   0.07    0.11   0.05   1.24     -45.1     -25.1    -100.9       127
  1.11606634 -44.68014908   -0.26   0.17   12.82   0.13    0.16   0.04   0.30     -36.5     -16.8     -53.7       128
  0.69666910 -45.34876633   -0.31   0.19   13.58   0.08    0.08   0.04   0.05     -42.9     -14.4     -68.2       129
  0.71235651 -45.25699234   -0.17   0.10   10.42   0.11    0.10   0.02   7.01     -36.0     -20.5    -157.9       130
  0.81866616 -45.09051132   -0.39   0.18   14.29   0.07    0.15   0.02   4.77     -45.8     -12.6    -136.5       131
  1.40664172 -44.46491241   -0.17   0.10   10.26   0.10    0.11   0.01   0.61     -38.3     -18.6    -211.6       132
  1.12072933 -44.78939056   -0.33   0.18   14.04   0.08    0.18   0.03   0.44     -43.3     -14.2    -130.0       133
  0.97899467 -44.68147278   -0.31   0.22   10.79   0.22    0.08   0.06   1.20     -26.5     -15.1     -37.6       134
  0.19305293 -45.18439865   -0.25   0.15   11.94   0.15    0.04   0.02   0.89     -34.4     -16.8    -171.0       135
  0.29480544 -44.96437836   -0.23   0.15   12.83   0.11    0.21   0.03   7.60     -38.5     -19.0    -106.8       136
  1.16812897 -44.89208603   -0.43   0.13    8.54   0.10    0.06   0.02   0.29     -40.8      -6.0    -134.9       137
  1.34389162 -44.89503860   -0.31   0.20   11.79   0.20    0.16   0.05   0.50     -31.0     -14.0     -69.6       138
  0.02722973 -45.60910416   -0.44   0.26   11.61   0.23    0.14   0.02   2.78     -26.9      -7.1    -167.9       139
  1.48041308 -44.38511276   -0.33   0.24   11.23   0.25    0.14   0.08   0.02     -24.5     -14.4      -1.1       140
  1.25670183 -44.59967041   -0.44   0.34   13.75   0.11    0.11   0.06  10.91     -38.4     -10.9      -2.9       141
  1.02195227 -44.95881653   -0.25   0.15   10.35   0.15    0.10   0.02   1.65     -32.2     -13.1    -183.8       142
  1.20634437 -45.07379532   -0.84   0.28    9.68   0.22    0.14   0.02   2.41     -24.2      -0.3    -197.2       143
  1.12254488 -44.67231750   -0.63   0.20   10.97   0.16    0.11   0.02   0.18     -30.2      -4.7    -163.4       144
  0.44636279 -44.98691559   -0.26   0.16   10.46   0.16    0.11   0.02   0.23     -34.1     -15.8    -167.6       145
  1.20498788 -44.61442184   -0.33   0.23    7.97   0.23    0.15   0.05   1.64     -27.9     -11.7     -44.6       146
  0.93679035 -45.06374741   -0.36   0.22    9.93   0.20    0.15   0.02   1.71     -28.0      -8.5    -170.2       147
  1.36319649 -44.48505020   -0.60   0.13    5.36   0.24    0.13   0.05   5.59     -23.2      -8.8     -38.8       148
  0.34647119 -45.49929428   -0.56   0.50   13.80   0.13    0.20   0.07   2.09     -35.6      -8.7     -37.6       149
  1.02027607 -44.77738190   -0.45   0.19   14.07   0.07    0.20   0.02   1.87     -45.1     -13.6    -140.7       150
  0.56912410 -45.31855774   -0.43   0.37    8.78   0.30    0.17   0.04   0.39     -26.9      -8.4     -73.4       151
  0.86752093 -44.99365234   -0.27   0.17   11.66   0.17    0.11   0.03   0.35     -33.5     -16.1    -107.2       152
  0.51335502 -45.22570419   -0.25   0.17   13.00   0.15    0.15   0.07   0.11     -31.9     -18.8      -6.5       153
  0.76633662 -44.68888474   -0.43   0.16   14.22   0.10    0.21   0.02   6.03     -41.7     -16.1    -201.0       154
  0.16217537 -45.36079407   -0.26   0.19   12.61   0.26    0.12   0.07   2.78     -23.2     -18.6      -0.1       155
  0.91712630 -44.70952606   -0.31   0.22   11.26   0.22    0.12   0.06   0.02     -26.5     -15.3      -2.7       156
  0.30912644 -45.45637512   -0.24   0.15   11.04   0.15    0.14   0.02   1.12     -34.5     -16.1    -194.8       157
  0.04031444 -45.48167801   -0.20   0.10   11.91   0.10    0.09   0.02   2.24     -36.4     -18.0    -160.3       158
  1.20202982 -44.85123062   -0.48   0.17    7.94   0.10    0.11   0.04   0.32     -41.4      -2.5     -60.7       159
  0.69999796 -45.10814285   -0.23   0.14   11.53   0.14    0.12   0.02   0.19     -34.3     -16.6    -153.9       160
  0.35866114 -45.53379822   -0.30   0.19   11.31   0.19    0.20   0.04   0.18     -32.1     -15.0     -94.4       161
  0.19921847 -45.13967133   -0.33   0.19   10.48   0.18    0.10   0.02   2.42     -27.9      -8.6    -164.8       162
  1.07407188 -44.48472977   -0.24   0.14   10.42   0.14    0.11   0.02   1.36     -32.5     -15.0    -166.9       163
  0.78912121 -45.18518066   -0.25   0.16   10.67   0.16    0.13   0.02   3.45     -32.9     -15.1    -166.7       164
  0.78587800 -45.31208801   -0.70   0.57   13.89   0.10    0.23   0.03   0.62     -38.1      -7.0    -138.0       165
  0.12537993 -45.01713181   -0.33   0.09    4.86   0.20    0.19   0.04   8.73     -31.5      -9.2     -75.5       166
  0.48186055 -45.39509964   -0.39   0.30   11.00   0.27    0.13   0.07   3.63     -24.1     -11.5      -1.3       167
  0.80134976 -44.59597778   -0.82   0.59   13.93   0.12    0.17   0.06   3.96     -35.8      -6.5     -24.7       168
  0.10548504 -45.56972122   -0.23   0.11   10.04   0.11    0.08   0.01   1.13     -35.9      -8.2    -191.8       169
  0.27606520 -45.18558121   -0.85   0.59   13.95   0.10    0.22   0.05   4.57     -39.5      -6.5     -79.5       170
  0.13909297 -45.13301086   -0.25   0.12    5.01   0.23    0.19   0.05   1.13     -32.0      -7.1     -59.6       171
  0.70902097 -45.32600021   -0.28   0.17   10.46   0.16    0.12   0.02   1.70     -29.6      -9.3    -190.2       172
  1.40523267 -45.03083801   -0.25   0.13   11.46   0.13    0.11   0.02   0.38     -32.4     -12.1    -171.7       173
  0.04992862 -45.34544373   -0.14   0.06    2.59   0.11    0.18   0.04   1.04     -39.0     -16.0     -86.5       174
  0.45784557 -45.50798035   -0.18   0.09    2.62   0.14    0.20   0.04   1.03     -35.9     -10.7     -80.8       175
  1.28901494 -45.00161362   -0.24   0.17   12.57   0.19    0.10   0.07   3.47     -27.8     -19.2     -10.7       176
  0.47320297 -45.50157166   -0.18   0.09    8.09   0.08    0.05   0.02   0.87     -42.5     -12.0    -171.5       177
  1.42648292 -44.34470367   -0.49   0.38   13.78   0.08    0.22   0.04   6.00     -41.6     -10.1    -105.7       178
  0.23425354 -45.28104782   -0.19   0.12   12.27   0.13    0.15   0.03   0.87     -36.3     -22.0     -92.2       179
  1.36619520 -44.67694855   -0.29   0.16    9.06   0.15    0.14   0.02   4.26     -29.7      -7.5    -148.9       180
  1.43399775 -44.97119904   -0.19   0.10   11.60   0.11    0.14   0.02   2.48     -37.2     -19.9    -163.1       181
  0.73423702 -45.27425385   -0.20   0.13   12.69   0.09    0.09   0.02   0.68     -38.8     -19.2    -122.1       182
  0.53988159 -45.07444382   -0.25   0.15   10.35   0.15    0.16   0.02   5.88     -34.0     -15.6    -202.8       183
  0.24084663 -45.28471375   -0.27   0.17   13.52   0.09    0.09   0.04   1.37     -41.5     -16.3     -60.2       184
  0.01855772 -45.14310455   -0.22   0.13   11.92   0.14    0.10   0.04   0.13     -36.0     -20.2     -70.9       185
  0.02350291 -45.46077347   -0.22   0.12    7.59   0.09    0.13   0.04   0.16     -36.3     -10.0     -82.0       186
  0.30623174 -45.30317307   -0.19   0.11   11.79   0.11    0.13   0.02   0.69     -37.8     -20.8    -159.3       187
  0.14585702 -45.22353363   -0.79   0.51   14.06   0.08    0.22   0.03   3.62     -43.5      -7.9    -141.3       188
  0.35959968 -45.35744095   -0.19   0.09    8.90   0.09    0.05   0.02  10.70     -41.3     -11.6    -169.0       189
  0.16422074 -45.38175201   -0.31   0.20   13.70   0.12    0.13   0.07   2.92     -37.5     -15.2      -9.3       190
  0.16283803 -45.21233749   -0.27   0.10   12.75   0.06    0.07   0.02   1.73     -42.3     -13.4    -119.8       191
  0.16113342 -45.59524536   -0.18   0.09    7.31   0.07    0.07   0.05   0.42     -43.7     -11.3     -67.7       192
  1.16358125 -44.62280655   -0.22   0.15   13.25   0.11    0.09   0.05   1.33     -38.8     -19.7     -50.7       193
  0.54948926 -45.40645981   -0.23   0.13   11.02   0.13    0.11   0.02   0.25     -34.4     -16.0    -197.0       194
  1.04090965 -44.50731277   -0.19   0.08    6.37   0.15    0.14   0.05   0.65     -35.2     -10.9     -78.1       195
  0.37618011 -45.06264496   -0.46   0.34   10.24   0.27    0.18   0.02   1.87     -26.4      -7.0    -201.5       196
  0.26854500 -45.44327927   -0.24   0.13    6.11   0.18    0.15   0.05   0.28     -30.5     -16.7     -76.4       197
  1.42538869 -44.74864197   -0.25   0.11    5.90   0.16    0.15   0.04   0.68     -39.2      -8.4     -93.3       198
  1.43845630 -44.96242905   -0.32   0.20    7.45   0.22    0.11   0.07   0.55     -26.4     -11.3     -15.6       199
  1.04436541 -44.80994797   -0.23   0.15   12.80   0.13    0.10   0.05   0.51     -36.1     -19.4     -42.3       200
  1.43032694 -44.70786285   -0.32   0.19   13.68   0.07    0.07   0.04   4.77     -44.4     -14.2     -72.5       201
  0.62033433 -44.86523056   -0.20   0.11    9.76   0.12    0.12   0.02   3.01     -33.5     -13.6    -161.5       202
  0.66030699 -45.42221451   -0.33   0.20   13.61   0.10    0.16   0.05   2.86     -40.6     -13.6     -35.2       203
  0.34396106 -45.39521408   -0.20   0.12   11.54   0.13    0.06   0.03   2.33     -36.8     -20.9    -113.6       204
  1.32100117 -44.62033844   -0.21   0.09    4.90   0.20    0.11   0.05   0.63     -32.4      -8.9     -28.6       205
  0.90895122 -44.68222427   -0.19   0.11   11.71   0.11    0.15   0.03   2.85     -38.6     -22.1    -137.0       206
  0.80555189 -44.82029724   -0.31   0.18   13.55   0.08    0.12   0.04   0.24     -42.2     -14.5     -59.2       207
  1.06658566 -44.93131256   -0.24   0.15   11.37   0.15    0.08   0.03   5.57     -34.3     -17.3    -120.8       208
  0.31792057 -45.29758835   -0.28   0.19   11.85   0.23    0.12   0.07   0.79     -25.0     -17.2      -1.2       209
  0.44842619 -44.76308441   -0.16   0.07    6.39   0.11    0.13   0.04   1.29     -41.9     -15.6     -96.1       210
  0.32717666 -45.01817703   -0.32   0.21   11.11   0.19    0.13   0.02   1.13     -31.4     -12.8    -167.4       211
  0.42583370 -45.54755783   -0.23   0.15   11.65   0.16    0.09   0.05   0.61     -33.4     -19.6     -28.2       212
  1.46035326 -44.82274246   -0.37   0.19   13.76   0.06    0.18   0.03   9.12     -46.6     -12.0    -119.8       213
  0.80734807 -45.17124176   -0.31   0.20   13.65   0.09    0.19   0.04   1.16     -41.5     -15.2     -69.6       214
  0.92943329 -44.88842010   -0.27   0.16   12.02   0.17    0.14   0.05   0.83     -32.4     -17.0     -32.2       215
  0.22920302 -45.07105637   -0.22   0.14   10.72   0.14    0.18   0.02   0.81     -36.0     -17.7    -207.4       216
  0.42824936 -45.23670959   -0.56   0.14    9.96   0.14    0.14   0.01   3.12     -30.9      -6.5    -202.7       217
  0.05767694 -45.24233246   -0.27   0.13    8.28   0.12    0.15   0.02   0.56     -33.3      -6.4    -168.9       218
  0.00213366 -45.48791504   -0.16   0.09   12.29   0.11    0.12   0.03   1.45     -38.6     -24.6    -126.1       219
  0.41349515 -45.35398483   -0.16   0.08    1.99   0.15    0.16   0.04   0.99     -36.4     -14.1     -94.1       220
  1.40746570 -44.56691742   -0.15   0.07   12.42   0.07    0.11   0.02   0.36     -40.4     -21.8    -143.9       221
  0.69513464 -45.32762909   -0.30   0.22   13.25   0.17    0.17   0.07   1.72     -29.4     -15.9     -18.7       222
  0.58760577 -44.97934341   -0.45   0.19   14.08   0.07    0.19   0.03  23.48     -45.1     -13.6    -114.5       223
  0.23283307 -45.45262146   -0.21   0.12    8.19   0.10    0.11   0.02   1.25     -35.5     -10.6    -165.5       224
  0.50265545 -45.21449661   -0.29   0.14    9.69   0.13    0.12   0.01   0.78     -31.1      -7.2    -215.8       225
  0.76071191 -45.12848282   -0.25   0.18   11.80   0.21    0.09   0.07   3.49     -26.6     -18.7     -17.0       226
  1.20930529 -44.67257309   -0.36   0.21   13.69   0.09    0.19   0.05   5.94     -41.1     -13.4     -51.3       227
  0.60410881 -45.35097885   -0.21   0.13    9.91   0.12    0.07   0.02   2.71     -34.7     -15.8    -203.4       228
