      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  0.72055888 -44.79166412   -0.40   0.36   13.64   0.12    0.16   0.07   0.72     -35.3     -12.1     -14.8       693
  0.72802812 -45.30009079   -0.41   0.17    8.41   0.13    0.16   0.02   2.14     -31.5      -2.3    -148.6       694
  0.74221945 -45.15971375   -0.21   0.08    6.42   0.14    0.10   0.06   7.30     -36.1     -11.6     -87.8       695
  0.22788806 -45.11939621   -0.36   0.27   11.09   0.26    0.12   0.07   0.34     -23.7     -12.7      -0.4       696
  0.28716218 -44.93355179   -0.41   0.32   13.72   0.12    0.15   0.07   0.36     -36.9     -11.6      -8.5       697
  1.22041345 -44.52109146   -0.13   0.05    7.06   0.09    0.09   0.05   4.77     -37.5     -19.9     -74.5       698
  0.70918500 -44.96019363   -0.40   0.31    9.24   0.27    0.20   0.05   3.16     -26.2     -10.5     -56.5       699
  0.31243759 -45.21934128   -0.46   0.22   10.47   0.21    0.12   0.02   0.82     -26.0      -5.8    -180.2       700
  1.16164696 -44.41979599   -0.36   0.15    5.63   0.24    0.13   0.05   0.76     -33.4      -4.5     -51.6       701
  0.84163117 -44.91469955   -0.24   0.17   12.65   0.19    0.14   0.08   0.05     -28.3     -19.5      -0.5       702
  1.15478992 -44.78895569   -0.29   0.21   11.80   0.26    0.14   0.08   1.52     -23.0     -16.8      -0.5       703
  0.86514091 -45.24160767   -0.30   0.19   13.32   0.09    0.12   0.03   2.58     -40.9     -13.8    -113.2       704
  1.37923896 -44.41749191   -0.21   0.10    4.93   0.21    0.16   0.05   1.75     -30.0      -8.7     -56.3       705
  0.41590810 -45.24731445   -0.35   0.09    6.88   0.16    0.14   0.07   1.40     -28.5     -12.3     -56.5       706
  1.18589163 -44.61488724   -0.28   0.20   13.04   0.15    0.14   0.07   0.28     -33.1     -16.7      -5.0       707
  0.22571588 -45.08979034   -0.23   0.14   10.13   0.14    0.09   0.01   0.35     -32.9     -12.3    -198.4       708
  0.52741915 -45.22461319   -1.21   0.53   14.08   0.09    0.24   0.02   3.02     -40.8      -9.0    -176.9       709
  0.43467519 -44.88136673   -0.34   0.24   12.04   0.22    0.19   0.06   2.02     -27.2     -13.7     -50.6       710
  0.59739947 -44.77832413   -0.30   0.22   13.49   0.10    0.17   0.05   1.77     -38.1     -15.8     -54.4       711
  0.47289261 -45.13685989   -0.26   0.17   10.85   0.16    0.14   0.02   3.73     -33.8     -15.9    -180.3       712
  0.82380104 -44.65491867   -0.34   0.20    9.54   0.20    0.10   0.02   2.13     -28.9      -9.6    -185.1       713
  0.92240107 -44.96804428   -0.34   0.26   13.38   0.17    0.19   0.06   0.97     -29.4     -14.3     -39.6       714
  0.12722115 -45.01204300   -0.28   0.20   12.52   0.23    0.18   0.08   2.72     -25.1     -16.9     -15.9       715
  0.58330119 -45.42862320   -0.13   0.05    4.69   0.13    0.14   0.04   2.20     -39.1     -18.7     -84.6       716
  1.20383668 -44.66936874   -0.24   0.16   12.69   0.14    0.10   0.06   0.07     -34.4     -18.3     -25.4       717
  0.33162478 -45.00094986   -0.29   0.16    8.10   0.14    0.13   0.03   0.34     -30.5      -8.9    -112.6       718
  0.55475104 -45.29376602   -0.23   0.15   11.85   0.16    0.17   0.05   3.32     -32.7     -20.1     -43.7       719
  0.77866828 -44.98590469   -0.14   0.07    5.15   0.12    0.12   0.03   1.37     -36.4     -22.8    -114.9       720
  0.00856064 -45.59867859   -0.30   0.16   12.26   0.15    0.13   0.03   0.66     -33.2     -14.7    -119.7       721
  0.47779846 -45.37699127   -0.19   0.11   12.01   0.14    0.12   0.05   1.12     -36.0     -23.4     -31.1       722
  0.02674861 -45.13254929   -0.20   0.13   12.11   0.16    0.15   0.06   0.55     -33.3     -22.5     -12.3       723
  0.59308910 -45.07027817   -0.26   0.17    9.46   0.17    0.12   0.02   0.36     -34.3     -15.8    -193.4       724
  1.13171899 -45.15734100   -0.34   0.25   10.05   0.24    0.11   0.07   2.17     -26.1     -13.3     -11.8       725
  0.05849195 -45.31510544   -0.19   0.10    2.79   0.19    0.16   0.06   0.41     -30.8      -9.3     -23.3       726
  1.19426370 -44.67747498   -0.52   0.42   13.73   0.14    0.17   0.05   2.64     -33.4      -7.9     -66.6       727
  0.07204528 -45.48294449   -0.16   0.07   10.86   0.07    0.06   0.01   0.96     -41.6     -14.3    -181.8       728
  0.51418120 -45.07875061   -0.25   0.10    6.35   0.16    0.08   0.05   7.04     -36.6      -8.0     -84.4       729
  0.49437791 -45.11133194   -0.23   0.09    5.56   0.15    0.14   0.04   0.92     -40.0     -10.2     -82.9       730
  0.89935327 -44.76918411   -0.23   0.14   11.39   0.14    0.14   0.02   3.56     -33.9     -17.2    -139.6       731
  0.12002110 -45.52796555   -0.25   0.17    9.30   0.17    0.11   0.02   3.15     -31.0     -13.8    -151.9       732
  0.08795080 -45.01709366   -0.24   0.07    6.94   0.11    0.07   0.05   0.58     -35.9     -13.1     -79.1       733
  0.25396329 -45.63095474   -0.21   0.13   11.20   0.13    0.13   0.02   1.94     -36.9     -20.3    -143.7       734
  0.55394936 -44.92652893   -0.16   0.09   10.07   0.10    0.13   0.02   6.80     -39.2     -19.6    -200.3       735
  0.28538457 -44.95158386   -0.25   0.18   13.21   0.15    0.17   0.07   0.47     -32.0     -18.7     -14.2       736
  0.88754302 -45.19470215   -0.31   0.21   13.10   0.13    0.24   0.05   1.79     -34.5     -15.7    -103.9       737
  0.74872279 -44.61986160   -0.27   0.20   13.25   0.13    0.22   0.05   1.55     -34.7     -17.4     -77.6       738
  1.20471346 -44.72315598   -0.13   0.05    6.47   0.10    0.19   0.05   0.56     -44.0     -19.9    -109.2       739
  1.13500905 -44.54314423   -0.51   0.41   13.63   0.19    0.19   0.05   0.55     -28.1      -8.7     -74.3       740
  1.21350956 -44.70746994   -0.53   0.43   13.66   0.18    0.20   0.05   0.53     -28.7      -8.2     -71.3       741
  0.68196833 -45.12354279   -0.44   0.16    6.35   0.21    0.15   0.05   2.81     -26.2     -10.7     -82.4       742
  1.06797159 -44.62445450   -0.28   0.16   10.37   0.15    0.11   0.02   1.97     -31.6     -12.7    -175.3       743
  1.35052335 -44.27166748   -1.17   0.58   14.07   0.09    0.25   0.02   2.03     -39.8      -8.7    -201.3       744
  0.42001820 -44.94116592   -0.25   0.16   10.15   0.15    0.11   0.02   0.45     -33.9     -15.3    -199.0       745
  1.04396760 -44.48278427   -0.28   0.11   11.88   0.11    0.09   0.02   1.74     -34.4     -11.7    -167.9       746
  0.01678945 -45.01277924   -0.23   0.13   11.74   0.13    0.09   0.02   0.22     -33.5     -14.5    -162.1       747
  0.66164583 -44.68578720   -0.27   0.17   12.24   0.17    0.18   0.05   1.18     -32.6     -16.6     -56.0       748
  0.72172236 -44.86856461   -0.33   0.28   13.52   0.12    0.19   0.05   2.96     -35.9     -14.8     -66.3       749
  0.67183918 -45.04539108   -0.20   0.09   12.12   0.10    0.11   0.02   0.69     -36.5     -18.5    -130.6       750
  0.59823996 -45.36188889   -0.26   0.10    5.01   0.21    0.08   0.04   0.78     -34.8      -8.2     -51.6       751
  0.31325728 -45.10023880   -0.13   0.05    4.39   0.13    0.12   0.03   5.63     -40.1     -20.1    -106.2       752
  0.99137408 -44.94295883   -0.43   0.19   14.03   0.10    0.17   0.04   1.38     -41.3     -13.3     -82.6       753
  0.69033331 -44.65349197   -0.74   0.59   13.92   0.11    0.22   0.04   1.70     -37.4      -6.8    -102.6       754
  1.23380578 -44.87015915   -0.86   0.50   13.96   0.11    0.22   0.03   0.25     -37.0      -3.2    -134.9       755
  1.33144712 -44.66812515   -0.12   0.05    5.24   0.09    0.11   0.03  11.32     -51.4     -19.6    -171.0       756
  1.45883644 -44.23445511   -0.24   0.10    6.06   0.15    0.13   0.05   0.92     -39.8     -11.2    -111.8       757
  0.04720105 -45.67203140   -0.29   0.21   11.90   0.26    0.11   0.07   1.33     -23.4     -16.8      -1.5       758
  0.55902779 -45.10279083   -0.77   0.50   13.90   0.11    0.23   0.03   4.85     -37.3      -3.8    -147.1       759
  0.69942439 -45.40303040   -0.25   0.17   11.04   0.17    0.09   0.05  23.81     -32.4     -18.0     -35.1       760
  0.17024446 -45.62083817   -0.40   0.20   13.92   0.09    0.17   0.05   0.27     -41.0     -13.8     -41.3       761
  0.65218467 -44.85828781   -0.33   0.18   14.06   0.08    0.11   0.03   6.42     -43.5     -14.3    -111.2       762
  1.03615284 -44.80606461   -0.23   0.13   11.00   0.12    0.13   0.02   2.68     -32.4     -11.3    -166.3       763
  1.23004866 -44.94122696   -0.18   0.10   12.04   0.12    0.12   0.03   1.15     -38.1     -23.8     -89.2       764
  0.21182263 -45.05502701   -0.71   0.49   13.87   0.12    0.25   0.04   1.28     -35.3      -4.3    -126.3       765
  0.31017703 -45.54013443   -0.21   0.10    5.11   0.19    0.10   0.04   0.38     -30.6     -13.7     -70.0       766
  0.00956764 -45.42132950   -0.31   0.16   10.71   0.16    0.09   0.01   0.37     -29.6      -8.7    -200.2       767
  0.94042772 -44.79989624   -0.27   0.20   12.10   0.28    0.12   0.07   0.79     -22.1     -17.7      -0.6       768
  0.13258524 -45.62000656   -0.29   0.18   11.82   0.18    0.12   0.03   0.54     -31.8     -14.2    -108.5       769
  0.44579121 -44.90530396   -0.25   0.17   12.75   0.15    0.07   0.06   4.02     -33.1     -18.5     -61.7       770
  1.43559837 -44.87351227   -0.24   0.16   11.06   0.16    0.09   0.03   0.75     -35.1     -18.0    -103.6       771
  0.98618531 -44.66738510   -0.21   0.14   12.82   0.11    0.13   0.04   0.84     -38.2     -20.7     -69.1       772
  0.88529897 -45.07493591   -0.68   0.57   13.89   0.10    0.23   0.04   0.42     -38.2      -7.1    -129.7       773
  0.14244051 -45.44030762   -0.27   0.20   13.28   0.13    0.16   0.06   0.27     -34.4     -17.6     -23.4       774
  0.18456410 -45.13795090   -0.68   0.49   13.86   0.14    0.22   0.05   7.91     -33.6      -4.6     -83.0       775
  0.28371295 -45.14074326   -0.15   0.06    4.51   0.17    0.11   0.04   1.42     -35.2     -14.8     -73.7       776
  0.99292666 -44.64553833   -0.21   0.15   12.67   0.14    0.15   0.06   0.32     -34.2     -21.2     -19.1       777
  0.78515941 -44.68286896   -0.13   0.05    5.96   0.10    0.12   0.04   2.40     -48.5     -19.1    -151.7       778
  1.07905781 -45.05429840   -0.25   0.16   10.85   0.15    0.15   0.02   0.21     -35.0     -16.8    -191.0       779
  1.01638138 -44.54786682   -0.23   0.15   10.34   0.15    0.13   0.02   3.66     -34.6     -16.6    -159.7       780
  0.50065607 -44.98682404   -0.23   0.16   12.60   0.16    0.16   0.07   0.33     -32.6     -19.8     -16.0       781
  0.16073808 -45.59151077   -0.42   0.20   13.99   0.09    0.12   0.05   0.27     -41.1     -13.1     -48.8       782
  0.24130166 -45.47248840   -0.13   0.05    5.66   0.10    0.13   0.03   2.87     -48.0     -18.7    -144.4       783
  0.07312499 -45.27055359   -0.12   0.04    7.03   0.08    0.11   0.05   0.86     -43.0     -19.9     -52.8       784
  0.06710953 -45.02318573   -0.44   0.17   14.08   0.08    0.22   0.02   2.61     -44.5     -15.1    -187.4       785
  0.14408931 -45.00600815   -0.35   0.29    8.24   0.26    0.20   0.04   1.88     -28.5     -11.4     -73.6       786
  0.31492370 -45.41268539   -0.14   0.06    4.02   0.17    0.10   0.03   1.82     -35.5     -17.4    -102.3       787
  1.12666965 -44.75383377   -0.21   0.14   13.08   0.11    0.06   0.04   0.50     -38.4     -21.0     -72.0       788
  0.27364668 -45.13105392   -0.25   0.12    5.42   0.20    0.10   0.04   0.91     -28.6     -14.5     -62.8       789
  0.54471588 -44.83076477   -0.18   0.09    9.06   0.10    0.11   0.02   2.00     -35.6     -15.5    -179.3       790
  0.41637099 -45.13678741   -0.17   0.10   11.64   0.11    0.06   0.03   5.26     -38.5     -23.5    -110.6       791
  0.61272639 -45.12804413   -1.23   0.52   14.09   0.09    0.23   0.02   2.24     -41.0      -9.3    -208.5       792
  1.45398223 -44.59169388   -0.48   0.39   11.67   0.30    0.14   0.03   2.60     -26.2      -6.3    -113.2       793
  0.31599006 -45.39441681   -0.11   0.03    6.28   0.06    0.10   0.05   9.03     -45.1     -24.7    -130.5       794
  0.16627730 -45.58148193   -0.28   0.15   11.05   0.14    0.14   0.02   1.67     -31.1     -11.9    -170.4       795
  1.03846991 -45.11438370   -0.16   0.08   11.99   0.10    0.08   0.03   0.77     -39.2     -24.1    -121.4       796
  1.09782708 -44.90433884   -0.12   0.04    6.10   0.07    0.08   0.04   4.42     -43.8     -20.7    -133.0       797
  0.80019224 -44.61093903   -0.23   0.16   12.49   0.16    0.14   0.06   0.31     -33.0     -19.6     -15.2       798
  0.49374673 -44.86813736   -0.25   0.14   10.92   0.14    0.09   0.02   2.16     -31.0     -11.1    -172.4       799
  0.34759274 -45.25573730   -0.31   0.20   13.48   0.11    0.16   0.06   5.53     -37.8     -14.9     -22.7       800
  1.28717065 -44.57663345   -0.27   0.18   13.03   0.12    0.13   0.05   3.07     -36.2     -17.0     -17.8       801
  1.22862554 -44.95560074   -0.36   0.27   11.05   0.27    0.14   0.08   0.09     -23.1     -12.8      -2.5       802
  1.44567621 -44.93134689   -0.11   0.03    7.08   0.06    0.15   0.04   3.75     -46.4     -23.6     -96.6       803
  1.29164231 -44.47517014   -0.21   0.12   11.63   0.13    0.16   0.02   1.93     -36.0     -18.9    -148.1       804
  0.21149904 -45.19562149   -0.33   0.26   13.52   0.11    0.20   0.05   0.24     -36.0     -14.8     -89.2       805
  0.78890318 -45.08814621   -0.36   0.32   13.64   0.12    0.18   0.06   4.07     -35.4     -13.4     -43.7       806
  0.76496589 -44.92870331   -0.18   0.10   11.75   0.10    0.11   0.03   1.64     -36.7     -20.5    -138.3       807
  0.63899934 -44.95656586   -0.27   0.17   10.87   0.17    0.11   0.02   2.92     -33.6     -15.3    -183.1       808
  0.15062146 -45.48760223   -0.63   0.18    7.73   0.15    0.11   0.07   0.43     -29.3      -5.7     -13.1       809
  1.30686641 -44.60959244   -0.85   0.12    6.85   0.16    0.13   0.05   5.25     -33.9      -6.3    -151.1       810
  1.48596525 -44.92847443   -0.28   0.18   13.45   0.10    0.18   0.05   0.53     -39.8     -16.2     -50.7       811
  1.27401388 -44.98643112   -0.78   0.50   13.91   0.10    0.22   0.04   0.13     -37.5      -3.7    -120.9       812
  0.22587143 -45.11038208   -0.44   0.18   14.07   0.07    0.23   0.02   2.14     -44.7     -15.0    -184.8       813
  0.79457325 -45.04814148   -0.27   0.19   11.82   0.20    0.10   0.07   1.20     -27.5     -17.2      -7.4       814
  0.26468265 -45.56150055   -0.75   0.50   13.90   0.12    0.20   0.04   1.26     -35.4      -3.8     -96.5       815
  1.27887893 -44.40175629   -0.32   0.25   13.37   0.12    0.19   0.05   0.04     -35.4     -15.1     -60.6       816
  0.10038879 -45.02421951   -0.62   0.18    6.38   0.22    0.11   0.05   0.37     -26.4     -10.0     -51.2       817
  1.11613476 -45.01132584   -0.23   0.14   10.91   0.14    0.08   0.02   1.05     -35.1     -18.1    -133.1       818
  0.48615238 -45.29560471   -0.30   0.20   12.22   0.19    0.21   0.05   2.60     -29.3     -16.0     -75.0       819
  0.21544102 -45.50033951   -0.47   0.27   10.86   0.24    0.14   0.02   0.46     -25.9      -6.4    -186.6       820
  0.86405963 -44.73797226   -1.03   0.61   14.02   0.10    0.23   0.03   3.65     -38.4      -7.3    -146.9       821
  1.03377867 -45.17326736   -0.80   0.06    3.28   0.17    0.12   0.06   0.33     -32.7     -14.1      -4.4       822
  0.52869993 -44.88494492   -0.71   0.24    9.19   0.19    0.15   0.02   0.60     -27.1      -1.0    -173.3       823
  0.05679633 -45.37087631   -0.73   0.50   13.89   0.11    0.19   0.04   1.54     -36.6      -4.1     -90.8       824
  0.53610373 -45.48692322   -0.26   0.17   12.67   0.14    0.18   0.05   0.06     -35.1     -17.1     -59.7       825
  0.71324813 -44.97336578   -0.22   0.15   13.00   0.09    0.08   0.03   0.35     -39.8     -18.4    -120.8       826
  0.13012595 -45.28631210   -0.63   0.24    8.94   0.20    0.17   0.02   0.31     -25.2      -2.1    -172.2       827
  1.27003217 -44.76218796   -0.25   0.16   10.67   0.16    0.07   0.02   3.98     -34.0     -16.5    -151.3       828
  1.46576929 -44.30115509   -0.91   0.55   10.43   0.38    0.10   0.07   4.36     -18.5      -0.8      -5.9       829
  0.42489502 -44.88568115   -0.38   0.30   13.54   0.16    0.20   0.06   0.54     -31.0     -12.3     -65.4       830
  1.15208840 -45.06343460   -0.65   0.06    4.18   0.22    0.12   0.05   1.84     -28.7     -15.2     -62.0       831
  0.06147654 -45.65942383   -0.29   0.19    9.30   0.19    0.12   0.02   0.61     -30.3     -11.7    -165.3       832
  0.04367711 -45.45452499   -0.19   0.11   11.81   0.12    0.15   0.04   1.37     -38.0     -22.9     -73.4       833
  0.62101752 -45.13629913   -0.29   0.18   11.38   0.18    0.21   0.04   0.63     -32.1     -15.6     -82.4       834
  0.41847765 -45.06480026   -0.65   0.11    6.95   0.16    0.16   0.06   2.30     -27.9     -10.5     -82.9       835
  1.34510839 -44.89566040   -0.22   0.14   10.88   0.15    0.11   0.03   2.82     -35.5     -19.2    -121.7       836
  0.93677866 -45.19184113   -0.25   0.16   11.26   0.17    0.16   0.04   0.31     -33.9     -17.4     -80.7       837
  0.96714073 -44.96553802   -0.36   0.25    9.19   0.23    0.12   0.02   0.19     -27.7      -9.3    -141.9       838
  0.10358217 -45.63118362   -0.43   0.13    4.59   0.29    0.19   0.05   0.36     -24.4      -4.1     -50.1       839
  1.34801900 -44.80729675   -0.55   0.41    8.26   0.31    0.10   0.04   0.41     -23.1      -3.0     -77.5       840
  1.15258455 -44.90330505   -0.24   0.15   11.18   0.15    0.13   0.03   1.79     -34.8     -18.2    -103.2       841
  0.21085259 -45.16409302   -0.35   0.13    6.32   0.18    0.18   0.05   1.06     -29.4      -8.4    -112.8       842
  1.01676285 -44.91670990   -0.49   0.38    9.94   0.31    0.06   0.03   3.12     -26.1      -6.6     -99.5       843
  0.74739605 -45.01856995   -0.53   0.39   11.06   0.32    0.13   0.07   0.30     -20.7      -7.3      -0.7       844
  0.67479765 -45.25398254   -0.40   0.30   11.62   0.30    0.13   0.08   1.39     -20.9     -11.7      -0.3       845
  0.99318451 -44.61579514   -0.35   0.17   12.10   0.16    0.14   0.03   1.14     -32.6     -14.4     -95.7       846
  1.11525631 -44.72098923   -0.60   0.16    9.01   0.14    0.12   0.02   1.09     -30.5      -4.1    -179.3       847
  0.11607616 -45.44465256   -0.33   0.22   11.25   0.21    0.12   0.03   0.99     -30.2     -12.0    -129.5       848
  0.57973653 -45.04508972   -0.43   0.20    7.70   0.10    0.12   0.07   1.28     -34.7      -0.1     -26.1       849
  1.21395421 -44.67346191   -0.38   0.29   10.57   0.27    0.14   0.08   0.00     -23.7     -11.8      -0.2       850
  0.35421008 -45.26039886   -0.61   0.47    9.78   0.36    0.15   0.07   1.99     -21.1      -4.7     -10.2       851
  1.41380548 -44.85808563   -1.01   0.56   10.62   0.39    0.14   0.08   1.19     -17.3      -0.3      -1.2       852
  1.24957371 -44.74025726   -0.29   0.18   11.58   0.17    0.14   0.02   4.32     -32.2     -14.3    -144.9       853
  0.37476933 -45.38405609   -0.20   0.14   13.04   0.12    0.10   0.05   1.88     -37.7     -21.4     -22.3       854
  0.81379473 -44.70397186   -0.38   0.12    6.34   0.17    0.19   0.04   3.23     -32.7      -6.4    -139.4       855
  1.13401353 -44.72552109   -0.64   0.12    4.76   0.27    0.17   0.05   0.47     -24.0      -4.9     -42.9       856
  1.13935947 -44.77123260   -0.44   0.33   11.52   0.31    0.12   0.08   1.24     -20.5     -10.1      -1.1       857
  0.58629465 -45.34735870   -0.83   0.50   13.95   0.10    0.22   0.04   0.80     -37.5      -3.4    -124.6       858
  0.21947080 -45.31092453   -0.25   0.17   12.23   0.18    0.07   0.06   0.64     -30.6     -18.3     -39.6       859
  0.43399295 -45.54461288   -0.35   0.23    9.50   0.21    0.15   0.02   0.80     -27.3      -8.5    -150.8       860
  1.45606732 -44.84108734   -0.67   0.52    9.38   0.39    0.13   0.06   0.65     -20.9      -2.9      -8.2       861
  0.16880655 -45.48920059   -0.38   0.24    6.79   0.25    0.16   0.07   1.25     -27.4     -10.6     -21.2       862
  0.67953700 -44.80781555   -0.23   0.14   12.22   0.14    0.12   0.03   0.82     -34.9     -19.2     -94.6       863
  1.25229740 -44.91227341   -0.29   0.20   13.14   0.14    0.13   0.07   0.62     -33.6     -16.1      -6.3       864
  1.14525783 -45.08857727   -0.45   0.12    7.51   0.11    0.06   0.05   1.11     -33.5      -8.1     -80.5       865
  0.60091436 -45.01395035   -0.37   0.26    8.91   0.23    0.14   0.03   0.63     -27.3      -8.8    -148.2       866
  0.10216031 -45.22460556   -0.19   0.12   10.94   0.13    0.11   0.02   6.96     -35.9     -20.3    -145.0       867
  0.88639516 -44.77982330   -0.38   0.28    9.96   0.23    0.16   0.02   0.50     -28.9      -9.8    -168.1       868
  0.64624417 -44.65755463   -0.26   0.16   10.25   0.15    0.11   0.02   0.59     -32.8     -14.9    -169.8       869
  0.77233213 -45.28488159   -0.31   0.19   10.71   0.19    0.10   0.02   0.18     -31.7     -13.2    -165.0       870
  1.08073175 -44.44654465   -0.58   0.17    6.34   0.21    0.15   0.05   0.06     -26.7     -10.9     -69.4       871
  1.19349146 -44.37199783   -0.41   0.10    6.71   0.17    0.17   0.06   0.67     -27.9     -10.3     -85.4       872
  0.78355825 -45.16014099   -0.20   0.13    9.60   0.13    0.10   0.02   2.03     -37.5     -19.0    -208.0       873
  1.22623312 -44.90188217   -0.27   0.17   11.23   0.17    0.14   0.04   0.38     -33.1     -16.2     -94.9       874
  0.42932269 -45.24089432   -0.28   0.17   10.42   0.17    0.14   0.02   0.41     -30.3     -12.3    -153.8       875
  0.22098807 -45.31263351   -0.51   0.35   12.37   0.21    0.20   0.05   1.66     -29.7     -10.1     -71.2       876
  1.19447994 -44.91052246   -0.22   0.13   11.82   0.15    0.12   0.06   0.17     -34.6     -20.6     -37.7       877
  0.84995341 -44.95077133   -0.26   0.17   10.34   0.17    0.10   0.03   1.05     -33.5     -16.2    -128.4       878
  1.46081638 -44.96062469   -0.32   0.15    7.67   0.11    0.04   0.04   0.10     -32.8      -7.1    -128.2       879
  1.24552977 -44.88418198   -0.21   0.15   12.94   0.12    0.06   0.05   0.75     -36.7     -21.0     -39.7       880
  0.16927348 -45.56728363   -0.29   0.20   13.10   0.13    0.18   0.06   0.18     -35.0     -15.9     -46.7       881
  0.09475884 -45.55891418   -0.38   0.09   13.29   0.03    0.07   0.02   1.60     -49.6     -15.8    -138.2       882
  0.19366892 -45.23656082   -0.25   0.18   13.14   0.15    0.17   0.07   0.42     -31.6     -18.8     -19.7       883
  0.25432909 -44.89797974   -0.35   0.26   11.83   0.31    0.12   0.07   0.40     -20.5     -13.9      -0.0       884
  1.17013109 -44.71475220   -0.33   0.24   10.46   0.23    0.18   0.06   0.16     -28.1     -13.7     -40.1       885
  1.10431278 -45.11233139   -0.36   0.26   11.28   0.27    0.11   0.07   1.55     -22.9     -13.2      -2.2       886
  1.27140880 -44.93700027   -0.25   0.16   11.61   0.16    0.11   0.03   0.90     -33.4     -16.6    -112.1       887
  0.89844972 -44.97043991   -0.61   0.44   13.95   0.09    0.25   0.04   0.07     -42.1      -8.7    -123.2       888
  0.35980788 -44.84736633   -0.20   0.13    9.21   0.13    0.13   0.02   2.25     -36.5     -17.8    -202.4       889
  0.31242719 -45.54075623   -0.30   0.22   13.38   0.12    0.20   0.05   0.17     -34.4     -16.0     -74.4       890
  0.46034837 -45.07335663   -0.27   0.19   13.21   0.14    0.17   0.06   0.16     -32.5     -17.6     -41.0       891
  0.43734223 -44.89702606   -0.54   0.41   10.26   0.33    0.16   0.08   0.44     -21.4      -6.7      -9.1       892
  0.07910088 -45.63490677   -0.33   0.20   10.25   0.20    0.16   0.02   2.38     -27.6      -8.5    -156.7       893
  1.05549634 -44.85290527   -1.05   0.46   14.06   0.08    0.22   0.02   3.47     -40.5      -3.8    -212.5       894
  0.15639855 -45.23281479   -0.70   0.49   13.86   0.12    0.20   0.04   0.17     -35.9      -4.4    -103.8       895
  0.64837301 -44.82892609   -0.25   0.17   12.63   0.16    0.09   0.06   0.43     -32.9     -18.0     -22.0       896
  1.18808484 -44.41937256   -0.19   0.10    8.47   0.09    0.06   0.02   2.76     -41.7     -10.4    -171.6       897
  0.48651657 -45.08427811   -0.29   0.19   10.69   0.18    0.15   0.02   0.76     -33.2     -14.9    -166.7       898
  1.37415791 -44.47438812   -0.72   0.50   13.87   0.13    0.21   0.04   0.39     -34.6      -4.2    -117.9       899
  0.55758226 -44.76947403   -0.28   0.18   10.54   0.17    0.12   0.03   0.58     -32.0     -14.8    -117.1       900
  1.11251640 -45.18361282   -0.62   0.47   13.81   0.12    0.24   0.04   1.77     -35.8      -5.7    -122.8       901
  0.55305755 -45.16907501   -0.43   0.30   10.31   0.26    0.15   0.02   0.20     -27.9      -8.7    -134.3       902
  0.85254312 -44.92240524   -0.39   0.30    9.92   0.26    0.09   0.07   0.68     -25.1     -11.3     -21.7       903
  1.09444237 -44.72585678   -0.17   0.09   12.16   0.11    0.06   0.03   2.91     -37.3     -23.5    -135.1       904
  0.97610074 -45.01140213   -0.34   0.20    9.84   0.19    0.15   0.02   1.11     -29.1      -9.8    -201.9       905
  0.46019432 -44.98548889   -0.23   0.15    6.88   0.18    0.13   0.07   5.36     -31.0     -18.1     -19.9       906
  0.61176473 -45.36689377   -0.45   0.41   13.71   0.11    0.23   0.05   3.42     -37.9     -10.8     -90.7       907
  0.14504386 -45.41915512   -0.35   0.27    8.86   0.24    0.12   0.03   0.43     -29.9     -11.8    -105.4       908
  0.19136108 -45.65426636   -0.50   0.15    5.79   0.23    0.13   0.05   3.89     -25.9     -11.6     -54.1       909
  0.65587819 -44.97732162   -0.49   0.36   11.45   0.31    0.10   0.07   1.04     -20.6      -8.8      -1.7       910
  0.06500352 -45.16595078   -0.38   0.29   10.89   0.28    0.15   0.08   2.36     -22.5     -11.9      -1.7       911
  0.51952565 -45.33075714   -0.48   0.36   11.11   0.30    0.09   0.07   5.36     -21.2      -8.8     -19.4       912
  0.44791213 -44.93160248   -0.41   0.21    8.37   0.19    0.10   0.03   0.18     -27.1      -6.3    -131.8       913
  0.14609565 -45.27090454   -0.28   0.19   12.92   0.15    0.18   0.06   1.14     -31.1     -17.1     -40.1       914
  1.32062232 -45.00960922   -0.24   0.15   10.85   0.17    0.12   0.06   3.61     -32.8     -19.2     -25.9       915
  0.04377444 -45.58362579   -0.36   0.24   12.48   0.19    0.18   0.06   0.73     -29.7     -13.2     -33.7       916
  1.23337674 -44.39796829   -0.37   0.26   12.80   0.14    0.19   0.04   1.79     -34.7     -12.8    -114.3       917
  0.51548851 -44.76357651   -0.23   0.16   13.08   0.12    0.22   0.05   2.99     -36.0     -20.0     -75.9       918
  0.91183746 -45.06064606   -0.30   0.11    5.04   0.20    0.21   0.04   2.20     -30.7      -8.0     -88.2       919
  0.70212758 -45.07151031   -0.27   0.17    9.56   0.17    0.11   0.02   0.07     -33.9     -15.3    -194.0       920
  0.02310608 -45.14760971   -0.32   0.24   11.55   0.29    0.13   0.08   0.14     -21.5     -14.8      -0.1       921
  0.81741321 -44.60223389   -0.42   0.22   13.14   0.10    0.12   0.02   0.14     -37.4      -8.9    -129.8       922
  1.20696938 -44.41716385   -0.52   0.06    3.63   0.20    0.09   0.04   1.23     -30.0     -15.6     -77.6       923
  0.20480953 -45.54251099   -0.25   0.15    9.39   0.15    0.12   0.02   7.13     -30.4     -10.8    -168.9       924
