#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.3210 4.6890E-02 4.6890E-02   0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
 63  5.690         3.5404         2.0954
 64  5.790         3.5559         2.0996
 65  5.890         3.5709         2.1030
 66  5.990         3.5856         2.1061
 67  6.090         3.5998         2.1080
 68  6.190         3.6136         2.1095
 69  6.290         3.6270         2.1083
 70  6.390         3.6396         2.0958
 71  6.490         3.6513         2.0780
 72  6.590         3.6625         2.0662
 73  6.690         3.6732         2.0607
 74  6.790         3.6837         2.0614
 75  6.890         3.6941         2.0683
 76  6.990         3.7045         2.0778
 77  7.090         3.7145         2.0708
 78  7.190         3.7240         2.0618
 79  7.290         3.7332         2.0546
 80  7.390         3.7421         2.0498
 81  7.490         3.7508         2.0477
 82  7.590         3.7594         2.0486
 83  7.690         3.7678         2.0527
 84  7.790         3.7762         2.0605
 85  7.890         3.7847         2.0719
 86  7.990         3.7934         2.0872
 87  8.090         3.8022         2.1063
 88  8.190         3.8113         2.1293
 89  8.290         3.8208         2.1560
 90  8.390         3.8308         2.1863
 91  8.490         3.8413         2.2200
 92  8.590         3.8524         2.2561
 93  8.690         3.8640         2.2834
 94  8.790         3.8760         2.3111
 95  8.890         3.8885         2.3411
 96  8.990         3.9014         2.3682
 97  9.090         3.9143         2.3798
 98  9.190         3.9263         2.3629
 99  9.290         3.9384         2.3757
100  9.390         3.9509         2.4041
101  9.490         3.9640         2.4392
102  9.590         3.9785         2.4949
103  9.690         3.9938         2.5315
104  9.790         4.0097         2.5644
105  9.890         4.0262         2.5993
106  9.990         4.0435         2.6340
107 10.090         4.0614         2.6679
108 10.190         4.0800         2.7018
109 10.290         4.0991         2.7334
110 10.390         4.1188         2.7664
111 10.490         4.1393         2.8018
112 10.590         4.1605         2.8402
113 10.690         4.1826         2.8783
114 10.790         4.2054         2.9140
115 10.890         4.2289         2.9507
116 10.990         4.2531         2.9866
