# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Nov 16 20:07:54 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i> + 2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Jmag    Hmag    Ksmag
4.9184e-05 -2.19174 10.00000 0.8000000119 2.4187244405    0.799  0.368  3.8271  4.233    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-13      0.00 8.548e-01 1.452e-01 1.165e-05 3.212e-06 2.939e-05 -1.000 1.442e-05 3.850 4.871 4.077 3.902 3.874 3.906 3.111 2.893 2.871
4.9184e-05 -2.19174 10.00000 0.8012468815 2.4191597177    0.800  0.378  3.8276  4.226    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-13      0.00 8.547e-01 1.453e-01 1.165e-05 3.213e-06 2.940e-05 -1.000 1.907e-06 3.825 4.846 4.049 3.876 3.849 3.882 3.088 2.871 2.849
4.9184e-05 -2.19174 10.00000 0.8072426915 2.4212312525    0.806  0.431  3.8299  4.185    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-13      0.00 8.542e-01 1.457e-01 1.168e-05 3.221e-06 2.948e-05 -1.000 1.000e-04 3.693 4.716 3.908 3.743 3.721 3.757 2.966 2.755 2.733
4.9184e-05 -2.19174 10.00000 0.8138886094 2.4234864318    0.813  0.494  3.8316  4.132    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1  -3.7e-13      0.00 8.523e-01 1.476e-01 1.181e-05 3.254e-06 2.978e-05 -1.000 1.000e-04 3.535 4.564 3.743 3.584 3.565 3.603 2.816 2.610 2.588
4.9184e-05 -2.19174 10.00000 0.8152154088 2.4239315979    0.814  0.508  3.8316  4.119    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-13      0.00 8.519e-01 1.480e-01 1.183e-05 3.261e-06 2.984e-05 -1.000 9.999e-05 3.501 4.531 3.707 3.549 3.531 3.569 2.781 2.576 2.554
4.9184e-05 -2.19174 10.00000 0.8159552813 2.4241791161    0.815  0.516  3.8316  4.111    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -4.01e-13      0.00 8.516e-01 1.483e-01 1.185e-05 3.265e-06 2.988e-05 -1.000 9.994e-05 3.480 4.511 3.686 3.528 3.510 3.548 2.761 2.555 2.533
4.9184e-05 -2.19174 10.00000 0.8201174140 2.4255619570    0.819  0.565  3.8304  4.060    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -4.72e-13      0.00 8.504e-01 1.495e-01 1.193e-05 3.286e-06 3.007e-05 -1.000 1.000e-04 3.358 4.394 3.563 3.404 3.384 3.421 2.632 2.425 2.402
4.9184e-05 -2.19174 10.00000 0.8240900040 2.4268668517    0.822  0.619  3.8266  3.993    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-13      0.00 8.492e-01 1.507e-01 1.200e-05 3.306e-06 3.025e-05 -1.000 1.000e-04 3.222 4.268 3.433 3.265 3.240 3.273 2.477 2.263 2.240
4.9184e-05 -2.19174 10.00000 0.8247934580 2.4270964124    0.823  0.630  3.8256  3.979    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -6.02e-13      0.00 8.490e-01 1.509e-01 1.201e-05 3.310e-06 3.028e-05 -1.000 9.999e-05 3.196 4.244 3.409 3.238 3.212 3.243 2.446 2.230 2.206
4.9184e-05 -2.19174 10.00000 0.8254300952 2.4273037808    0.824  0.640  3.8242  3.962    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -6.28e-13      0.00 8.488e-01 1.511e-01 1.203e-05 3.313e-06 3.031e-05 -1.000 1.000e-04 3.169 4.220 3.385 3.210 3.182 3.212 2.412 2.193 2.169
